,Overall,Uplink,Downlink
Eb/No Ratio (dB),10.907,13.917,13.917
Carrier Power Density (dBW),,-126.395,-163.100
Free-Space Path Loss (dB),,-213.530,-210.054
Atmospheric Loss (dB),,-6.000,-6.000
C/No Ratio (dB),,123.548,94.598
Bandwidth to Bit Rate Ratio (dB),,-3.632,-3.632
C/N Ratio (dB),,17.549,17.549
Central Angle (°),,35.249,33.749
Slant Range (km),,"37,138.171","37,030.624"
Transmitter Noise Figure (),,2.100,2.500
Transmitter Equivalent Noise Temperature (K),,27.500,450.000
Transmitter Noise Temperature (K),,25.000,300.000
Transmitter Combined Gain (dB),,65.195,47.874
Transmitter G/Te Ratio (dBK-1),,50.801,21.342
Transmitter Diameter (m),,10.500,1.000
Transmitter Gain (dB),,68.645,44.423
Transmitter Half Beamwidth (dBW),,93.135,52.954
Transmitter Frequency (GHz),,30.500,20.500
Transmitter Wavelength (m),,0.010,0.015
Transmitter Efficiency (%),,0.650,0.600
Transmitter Feeder Loss (dB),,-2.500,-0.500
Transmitter EIRP (dBW),,93.135,52.954
Transmitter S/N (dBW),,,
Transmitter Amplifier Power (dBW),,26.990,9.031
Transmitter Amplifier Gain (dB),,0.000,0.000
Transmitter Amplifier Back-Off Loss (dB),,0.000,0.000
Transmitter Amplifier Noise Power (dB),,,
Transmitter Modulation Maximum Bit Rate (mbps),,115.385,115.385
Transmitter Modulation Data Rate (mbps),,115.385,115.385
Transmitter Modulation Bandwidth (GHz),,0.050,0.050
Transmitter Modulation Spectral Efficiency (bits/s/Hz),,2.308,2.308
Transmitter Modulation C/N Ratio (bits/s/GHz),,17.549,17.549
Transmitter Modulation Eb/No Ratio (dB),,13.917,13.917
Transmitter Modulation Bit Error Rate (),,,
Transmitter Modulation Roll-Off Factor (),,0.300,0.300
Transmitter Earth Station Latitude (°),,-35.170,
Transmitter Earth Station Longitude (°),,147.270,
Transmitter Earth Station Altitude (°),,0.000,
Receiver Noise Figure (),,2.500,2.800
Receiver Equivalent Noise Temperature (K),,450.000,45.000
Receiver Noise Temperature (K),,300.000,25.000
Receiver Combined Gain (dB),,47.874,45.629
Receiver G/Te Ratio (dBK-1),,21.342,29.097
Receiver Diameter (m),,1.000,1.200
Receiver Gain (dB),,47.874,45.629
Receiver Half Beamwidth (dBW),,56.405,60.650
Receiver Frequency (GHz),,30.500,20.500
Receiver Wavelength (m),,0.010,0.015
Receiver Efficiency (%),,0.600,0.550
Receiver Feeder Loss (dB),,-0.500,-1.000
Receiver EIRP (dBW),,56.405,60.650
Receiver S/N (dBW),,,
Receiver Amplifier Power (dBW),,9.031,16.021
Receiver Amplifier Gain (dB),,0.000,0.000
Receiver Amplifier Back-Off Loss (dB),,0.000,0.000
Receiver Amplifier Noise Power (dB),,,
Receiver Modulation Maximum Bit Rate (mbps),,115.385,115.385
Receiver Modulation Data Rate (mbps),,115.385,115.385
Receiver Modulation Bandwidth (GHz),,0.050,0.050
Receiver Modulation Spectral Efficiency (bits/s/Hz),,2.308,2.308
Receiver Modulation C/N Ratio (bits/s/GHz),,17.549,17.549
Receiver Modulation Eb/No Ratio (dB),,13.917,13.917
Receiver Modulation Bit Error Rate (),,,
Receiver Modulation Roll-Off Factor (),,0.300,0.300
Receiver Sub-Satellite Latitude (°),,0.000,
Receiver Sub-Satellite Longitude (°),,149.800,
Receiver Sub-Satellite Altitude (°),,0.000,
Transmitter Sub-Satellite Latitude (°),,,0.000
Transmitter Sub-Satellite Longitude (°),,,149.800
Transmitter Sub-Satellite Altitude (°),,,0.000
Receiver Earth Station Latitude (°),,,-19.080
Receiver Earth Station Longitude (°),,,178.180
Receiver Earth Station Altitude (°),,,0.000
